"bloodysnowx	1530	3.36	693	821	16	292	567	0.46	1283	178372	3046	582	321946	155"
"ehou_maki	219	2.27	88	127	4	35	35	0.19	224	8229	430	51	22902	0"
"khiro256	2206	3.79	1100	1082	24	617	1435	0.9	1743	543270	4152	2052	528168	600"
"LOHZ	1079	3.25	553	510	16	279	440	0.55	710	143184	651	430	177492	250"
"mamastan	576	3.35	252	314	10	152	230	0.54	227	70825	416	167	105753	98"
"cocota24	525	2.81	240	279	6	56	106	0.23	548	30108	576	68	65673	41"
"DForrester	985	3.36	452	518	15	272	342	0.48	834	112191	812	657	174188	135"
"watashiehou	58	1.14	28	27	3	10	7	0.15	37	947	35	39	4445	53"
"mikoshi_fighter	565	3.15	264	294	7	128	191	0.44	585	63408	1139	389	128257	153"
"okaotank	892	3.15	424	451	17	113	183	0.23	1185	59238	999	138	131865	62"
"lower_animals	119	2.12	59	58	2	22	9	0.09	94	2056	124	39	11416	73"
"wilkatz	22	1.82	8	14	0	2	0	0	10	246	0	0	1282	0"
