"bloodysnowx	1453	3.33	657	781	15	277	528	0.45	1211	165903	2987	582	300552	150"
"ehou_maki	219	2.27	88	127	4	35	35	0.19	224	8229	430	51	22902	0"
"khiro256	2192	3.78	1091	1077	24	613	1421	0.9	1737	536958	4092	2014	523364	596"
"LOHZ	1056	3.21	542	498	16	275	428	0.55	697	136289	632	430	169417	242"
"mamastan	535	3.26	233	292	10	140	202	0.51	203	58524	389	101	91142	61"
"cocota24	525	2.81	240	279	6	56	106	0.23	548	30108	576	68	65673	41"
"DForrester	985	3.36	452	518	15	272	342	0.48	834	112191	812	657	174188	135"
"watashiehou	58	1.14	28	27	3	10	7	0.15	37	947	35	39	4445	53"
"mikoshi_fighter	480	2.89	222	252	6	107	148	0.4	488	40496	945	326	94476	75"
"okaotank	835	3.11	396	422	17	104	174	0.24	1131	55513	929	92	119958	60"
"lower_animals	94	1.97	49	44	1	19	7	0.09	82	1354	124	39	8389	92"
