"bloodysnowx	1224	3.22	545	665	14	216	382	0.38	1022	114799	2344	421	226948	82"
"ehou_maki	196	2.15	83	109	4	33	29	0.18	194	6596	353	51	20663	6"
"khiro256	2127	3.74	1060	1044	23	597	1368	0.89	1654	506089	4091	1897	501524	584"
"LOHZ	1032	3.18	529	489	14	267	421	0.55	677	130564	632	430	164073	238"
"mamastan	439	3.09	183	246	10	111	155	0.47	170	42167	307	98	66722	16"
"cocota24	486	2.74	222	258	6	52	101	0.23	513	26588	576	68	60590	40"
"DForrester	794	3.08	366	416	12	221	268	0.47	683	80154	536	519	122399	107"
"watashiehou	45	1.02	21	21	3	8	5	0.14	33	661	35	24	3305	39"
"mikoshi_fighter	275	2.46	125	145	5	51	80	0.36	228	17499	505	117	39900	35"
"okaotank	460	2.64	216	236	8	61	66	0.17	567	20022	529	2	54563	47"
