"bloodysnowx	1349	3.28	606	729	14	248	459	0.42	1120	141959	2640	421	265759	121"
"ehou_maki	212	2.24	86	122	4	34	33	0.19	219	7700	419	51	22106	0"
"khiro256	2150	3.76	1069	1058	23	600	1382	0.89	1672	516220	4091	1897	508038	584"
"LOHZ	1032	3.18	529	489	14	267	421	0.55	677	130564	632	430	164073	238"
"mamastan	469	3.11	198	261	10	118	165	0.47	189	45183	307	98	72540	22"
"cocota24	510	2.78	234	270	6	55	103	0.23	533	27647	576	68	63638	42"
"DForrester	794	3.08	366	416	12	221	268	0.47	683	80154	536	519	122399	107"
"watashiehou	49	1.08	24	22	3	9	5	0.13	34	661	35	24	3682	58"
"mikoshi_fighter	331	2.58	152	174	5	68	100	0.38	318	22529	693	209	53851	40"
"okaotank	550	2.8	259	282	9	72	94	0.2	681	30860	532	88	69168	52"
