"bloodysnowx	1658	3.4	760	880	18	325	641	0.48	1388	202899	3187	587	360125	173"
"ehou_maki	219	2.27	88	127	4	35	35	0.19	224	8229	430	51	22902	0"
"khiro256	2233	3.8	1115	1094	24	624	1456	0.9	1766	553943	4252	2055	536922	604"
"LOHZ	1087	3.26	559	512	16	282	448	0.56	716	145955	651	430	181262	256"
"mamastan	623	3.44	272	341	10	164	253	0.55	241	82083	476	179	119639	115"
"cocota24	563	2.88	262	294	7	65	115	0.23	597	34384	576	72	72529	48"
"DForrester	985	3.36	452	518	15	272	342	0.48	834	112191	812	657	174188	135"
"watashiehou	58	1.14	28	27	3	10	7	0.15	37	947	35	39	4445	53"
"mikoshi_fighter	628	3.2	289	332	7	141	250	0.51	628	80093	1177	389	148636	195"
"okaotank	929	3.16	444	468	17	120	195	0.24	1216	63662	999	138	141171	65"
"lower_animals	132	2.2	62	68	2	24	11	0.1	97	2443	124	39	12779	52"
"wilkatz	26	1.85	9	17	0	3	0	0	12	246	0	0	1457	0"
