"bloodysnowx	1090	3.17	483	595	12	192	316	0.35	925	92500	2197	419	191592	52"
"ehou_maki	192	2.13	80	108	4	32	27	0.17	194	6090	353	51	19948	0"
"khiro256	2069	3.71	1032	1014	23	582	1317	0.89	1588	482882	4077	1897	483108	580"
"LOHZ	1005	3.14	511	480	14	259	397	0.53	668	119984	573	430	154893	215"
"mamastan	385	2.98	167	209	9	96	134	0.46	160	35415	148	98	56513	29"
"cocota24	439	2.65	203	231	5	48	89	0.23	453	23263	512	68	54234	45"
"DForrester	693	2.8	318	364	11	195	226	0.45	589	63685	478	449	99554	87"
"watashiehou	45	1.02	21	21	3	8	5	0.14	33	661	35	24	3305	39"
"mikoshi_fighter	189	2.13	82	103	4	31	60	0.38	138	12700	325	49	21360	17"
"okaotank	265	2.11	128	133	4	39	34	0.15	272	8630	282	0	29418	54"
