"bloodysnowx	1806	3.5	824	962	20	350	712	0.49	1518	236678	3428	764	407572	186"
"ehou_maki	219	2.27	88	127	4	35	35	0.19	224	8229	430	51	22902	0"
"khiro256	2261	3.82	1128	1109	24	632	1478	0.91	1788	564966	4279	2087	544523	604"
"LOHZ	1106	3.28	569	521	16	287	454	0.55	745	149716	651	430	187377	257"
"mamastan	654	3.52	289	354	11	179	277	0.58	246	94678	534	185	131154	152"
"cocota24	582	2.92	274	301	7	68	118	0.23	618	36468	592	72	76166	53"
"DForrester	1071	3.55	500	555	16	296	364	0.47	910	131739	1071	790	211429	165"
"watashiehou	58	1.14	28	27	3	10	7	0.15	37	947	35	39	4445	53"
"mikoshi_fighter	735	3.24	337	389	9	165	349	0.61	777	108317	1207	391	185953	263"
"okaotank	1031	3.21	495	518	18	137	218	0.24	1305	72525	1235	151	163660	67"
"lower_animals	163	2.3	77	84	2	31	15	0.11	120	3475	131	65	17294	58"
"willkatz	53	2.38	21	31	1	11	6	0.14	35	581	0	0	6695	0"
